Name,AgeYears,AgeMonths,Gender,ClientId,ClientCode,RegionId,Region,InstitutionId,Institution,GroupId,Group,SubGroupId1,SubGroup1,SubGroupId2,SubGroup2,TestResultId,DateCompleted,DaysSince,QuestionsCompleted,Band,Score,Duration,An01,Sc01,Du01,An02,Sc02,Du02,An03,Sc03,Du03,An04,Sc04,Du04,An05,Sc05,Du05,An06,Sc06,Du06,An07,Sc07,Du07,An08,Sc08,Du08,An09,Sc09,Du09,An10,Sc10,Du10,An11,Sc11,Du11,An12,Sc12,Du12,An13,Sc13,Du13,An14,Sc14,Du14,An15,Sc15,Du15,An16,Sc16,Du16,An17,Sc17,Du17,An18,Sc18,Du18,An19,Sc19,Du19,An20,Sc20,Du20,An21,Sc21,Du21,An22,Sc22,Du22,An23,Sc23,Du23,An24,Sc24,Du24,An25,Sc25,Du25,An26,Sc26,Du26,An27,Sc27,Du27,An28,Sc28,Du28,An29,Sc29,Du29,An30,Sc30,Du30,An31,Sc31,Du31,An32,Sc32,Du32
rkr0940,24,297,F,809,gautnc14stl,,TNC,3193,Temba,27164,NATED,27208,Management Assistant N4,0,0,658262,23/11/2015 12:24,227,32,3,21,195,Same,1,7,Not the same,1,6,Not the same,1,8,Same,1,5,Not the same,1,7,Same,1,5,Same,1,6,Not the same,1,6,Same,1,6,Same,1,7,Not the same,1,4,Not the same,1,4,Not the same,1,4,Same,1,5,Same,1,11,Not the same,1,3,Same,1,3,Not the same,0,6,Not the same,1,6,Not the same,1,6,Not the same,0,8,Not the same,0,4,Not the same,0,5,Same,0,5,Same,0,5,Not the same,0,7,Same,0,8,Not the same,1,6,Same,1,6,Not the same,0,12,Same,0,10,Same,0,4
rkr0941,20,246,F,809,gautnc14stl,,TNC,3193,Temba,27265,REGISTRATION,0,,0,0,658256,23/11/2015 12:19,227,32,4,24,199,Same,1,9,Not the same,1,8,Not the same,1,9,Same,1,6,Not the same,1,6,Same,1,5,Same,1,7,Not the same,1,10,Same,1,4,Same,1,5,Not the same,1,3,Not the same,1,13,Not the same,1,4,Same,1,4,Same,1,4,Not the same,1,7,Same,1,4,Same,1,5,Not the same,1,10,Same,0,5,Same,1,5,Same,1,4,Same,1,9,Same,0,5,Same,0,4,Same,1,10,Same,0,13,Same,0,4,Same,1,4,Not the same,0,6,Same,0,4,Same,0,3
rkr0942,19,233,M,809,gautnc14stl,,TNC,3191,Rosslyn,27119,NATED,27130,Motor Trade N1,0,0,658247,23/11/2015 12:14,227,32,1,17,74,Same,1,4,Not the same,1,3,Same,0,3,Same,1,2,Same,0,3,Not the same,0,0,Same,1,4,Same,0,5,Same,1,2,Same,1,2,Same,0,5,Not the same,1,3,Not the same,1,3,Same,1,2,Same,1,3,Same,0,3,Same,1,2,Same,1,1,Not the same,1,2,Same,0,3,Same,1,2,Same,1,2,Same,1,2,Same,0,2,Same,0,1,Not the same,0,2,Same,0,1,Not the same,1,1,Not the same,0,1,Not the same,0,2,Same,0,1,Same,0,2
rkr0943,23,287,F,809,gautnc14stl,,TNC,3193,Temba,27164,NATED,27208,Management Assistant N4,0,0,658239,23/11/2015 12:10,227,32,4,27,113,Same,1,7,Not the same,1,4,Not the same,1,4,Same,1,3,Not the same,1,7,Same,1,2,Same,1,6,Not the same,1,4,Same,1,3,Same,1,2,Not the same,1,3,Not the same,1,3,Not the same,1,2,Same,1,3,Same,1,3,Not the same,1,4,Same,1,2,Same,1,3,Not the same,1,4,Not the same,1,5,Same,1,4,Not the same,0,4,Not the same,0,3,Not the same,1,3,Same,0,3,Same,1,2,Not the same,1,4,Not the same,1,4,Not the same,0,3,Not the same,0,3,Not the same,1,3,Not the same,1,3
rkr0944,19,234,F,809,gautnc14stl,,TNC,3193,Temba,27164,NATED,27205,Financial Management N4,0,0,658231,23/11/2015 12:07,227,32,2,20,169,Same,1,7,Not the same,1,6,Same,0,6,Same,1,9,Not the same,1,6,Same,1,4,Not the same,0,3,Same,0,6,Same,1,4,Not the same,0,8,Not the same,1,4,Not the same,1,4,Not the same,1,3,Same,1,5,Same,1,6,Not the same,1,5,Same,1,4,Not the same,0,5,Not the same,1,4,Not the same,1,4,Same,1,6,Not the same,0,6,Not the same,0,5,Not the same,1,12,Same,0,4,Not the same,0,5,Not the same,1,4,Not the same,1,3,Not the same,0,7,Not the same,0,3,Same,0,7,Not the same,1,4
rkr0945,23,284,F,809,gautnc14stl,,TNC,3193,Temba,27164,NATED,27208,Management Assistant N4,0,0,658214,23/11/2015 11:58,227,32,2,18,215,Same,1,10,Not the same,1,10,Not the same,1,8,Same,1,7,Same,0,6,Not the same,0,5,Same,1,11,Same,0,7,Same,1,7,Not the same,0,10,Not the same,1,5,Not the same,1,6,Not the same,1,4,Same,1,4,Same,1,4,Not the same,1,7,Same,1,7,Same,1,3,Not the same,1,7,Same,0,5,Not the same,0,16,Not the same,0,8,Same,1,5,Not the same,1,4,Same,0,5,Same,1,6,Same,0,6,Same,0,7,Not the same,0,3,Not the same,0,9,Same,0,7,Same,0,6
rkr0946,19,228,M,809,gautnc14stl,,TNC,3191,Rosslyn,27119,NATED,27130,Motor Trade N1,0,0,658209,23/11/2015 11:54,227,32,3,22,90,Same,1,4,Not the same,1,5,Not the same,1,3,Same,1,3,Same,0,2,Same,1,3,Same,1,2,Not the same,1,3,Same,1,2,Same,1,3,Not the same,1,3,Not the same,1,4,Not the same,1,3,Same,1,2,Same,1,3,Same,0,2,Same,1,2,Same,1,2,Not the same,1,4,Not the same,1,3,Not the same,0,1,Same,1,3,Same,1,2,Same,0,2,Same,0,2,Not the same,0,3,Not the same,1,2,Same,0,4,Same,1,3,Not the same,0,3,Same,0,3,Same,0,4
rkr0947,18,223,F,809,gautnc14stl,,TNC,3191,Rosslyn,27119,NATED,27130,Motor Trade N1,0,0,658203,23/11/2015 11:53,227,32,4,23,118,Same,1,9,Not the same,1,3,Not the same,1,3,Same,1,4,Not the same,1,6,Same,1,3,Not the same,0,6,Not the same,1,7,Same,1,4,Same,1,3,Not the same,1,2,Not the same,1,4,Not the same,1,3,Same,1,3,Same,1,2,Same,0,3,Same,1,4,Same,1,2,Not the same,1,7,Not the same,1,2,Same,1,4,Not the same,0,4,Not the same,0,3,Not the same,1,4,Same,0,2,Not the same,0,3,Not the same,1,2,Not the same,1,5,Not the same,0,2,Not the same,0,3,Not the same,1,3,Same,0,3
rkr0948,18,217,M,809,gautnc14stl,,TNC,3191,Rosslyn,27119,NATED,27130,Motor Trade N1,0,0,658202,23/11/2015 11:52,227,32,2,18,75,Same,1,10,Not the same,1,4,Not the same,1,4,Same,1,2,Not the same,1,3,Same,1,2,Not the same,0,2,Same,0,2,Same,1,1,Not the same,0,1,Same,0,1,Same,0,2,Not the same,1,3,Not the same,0,2,Same,1,2,Not the same,1,2,Not the same,0,2,Not the same,0,3,Not the same,1,1,Not the same,1,2,Not the same,0,3,Not the same,0,3,Not the same,0,2,Not the same,1,2,Not the same,1,2,Same,1,2,Same,0,2,Not the same,1,1,Not the same,0,3,Not the same,0,1,Not the same,1,1,Not the same,1,2
rkr0950,25,304,F,809,gautnc14stl,,TNC,3193,Temba,27164,NATED,27208,Management Assistant N4,0,0,658176,23/11/2015 11:42,228,32,4,23,125,Same,1,5,Not the same,1,4,Not the same,1,6,Same,1,4,Same,0,3,Same,1,3,Same,1,5,Not the same,1,5,Same,1,4,Same,1,6,Not the same,1,4,Not the same,1,6,Not the same,1,2,Not the same,0,4,Same,1,4,Not the same,1,2,Same,1,3,Not the same,0,6,Not the same,1,4,Not the same,1,3,Same,1,3,Not the same,0,4,Not the same,0,3,Not the same,1,3,Not the same,1,3,Not the same,0,2,Not the same,1,5,Not the same,1,5,Same,1,4,Not the same,0,4,Same,0,3,Same,0,3
